Parameter Name, Parameter Code,Origin
Central_Heating_Demand,100,common
Domestic_Hot_Water_Demand,101,common
Appliance_Current,102,common
Appliance_Volts,103,common
Appliance_Power,104,common
Appliance_Phase_Power_Factor,105,common
Appliance_Flow_Temperature,106,common
Appliance_Return_Temperature,107,common
Appliance_Domestic_Hot_Water_Temperature,108,common
Other_Appliance_Temperature,109,common
BCM_Temperature,110,common
Model_Type,111,common
Serial_Number,112,common
Hive_Zone_0_Demand,120,common
Hive_Zone_0_Target_Temperature,121,common
Hive_Zone_0_Actual_Temperature,122,common
Hive_Zone_1_Demand,123,common
Hive_Zone_1_Target_Temperature,124,common
Hive_Zone_1_Actual_Temperature,125,common
Hive_Zone_2_Demand,126,common
Hive_Zone_2_Target_Temperature,127,common
Hive_Zone_2_Actual_Temperature,128,common
Hive_Zone_3_Demand,129,common
Hive_Zone_3_Target_Temperature,130,common
Hive_Zone_3_Actual_Temperature,131,common
ErrorList_0,1,vaillant
ErrorList_1,2,vaillant
ErrorList_2,3,vaillant
ErrorList_3,4,vaillant
ErrorList_4,5,vaillant
MaintenanceList_0,6,vaillant
MaintenanceList_1,7,vaillant
MaintenanceList_2,8,vaillant
MaintenanceList_3,9,vaillant
MaintenanceList_4,10,vaillant
LimpHomeList_0,11,vaillant
LimpHomeList_1,12,vaillant
LimpHomeList_2,13,vaillant
LimpHomeList_3,14,vaillant
LimpHomeList_4,15,vaillant
ErrorFlag,16,vaillant
MaintenanceFlag,17,vaillant
LimpHomeFlag,18,vaillant
Status,19,vaillant
FlowTemperature,20,vaillant
DhwTemperature,21,vaillant
TankTemperature,22,vaillant
HeatingPump,23,vaillant
Flame,24,vaillant
WaterPressure,25,vaillant
ModulationValue,26,vaillant
GasValve1,27,vaillant
GasValve2,28,vaillant
ChFlowSetPoint,29,vaillant
DhwSetPoint,30,vaillant
ReturnTemperature,31,vaillant
Appliance_Model,32,vaillant
Appliance_Serial_Number,33,vaillant
IfcOrStlFault,34,vaillant
_3wv,35,vaillant
SvAverageIgnitionTime,36,vaillant
SvCounterStartAtTempTs1,37,vaillant
SvCounterStartAtTempTs2,38,vaillant
SvCounterStartAtTempTs3,39,vaillant
SvCounterStartAtTempTs4,40,vaillant
ReservedForFutureUse,41,vaillant
SanitaryPump,42,vaillant
Ignitor,43,vaillant
FanRunning,44,vaillant
AirSystemBlocking,45,vaillant
AirSystemLockOut,46,vaillant
BoilerBlocked,47,vaillant
BoilerStopped,48,vaillant
HeatingDemand,49,vaillant
DhwTapping,50,vaillant
FrostProtection,51,vaillant
TankLoadingEnabled,52,vaillant
DigTemperatureSensor_0,135,hvac
DigTemperatureSensor_1,136,hvac
DigTemperatureSensor_2,137,hvac
DigTemperatureSensor_3,138,hvac
Float,143,hvac
Duct_Anemometer,144,hvac
Vibration_Magnitude,145,hvac
TStatCurrent_Y1,146,hvac
TStatCurrent_Y2,147,hvac
TStatCurrent_OB,148,hvac
TStatCurrent_R,149,hvac
TStatDemandState,150,hvac
Atmospheric_Pressure,151,hvac
Duct_Pressure,152,hvac
Outdoor_Appliance_Current,160,hvac
Outdoor_Appliance_Volts,161,hvac
Outdoor_Appliance_Power,162,hvac
Outdoor_Appliance_Phase_Power_Factor,163,hvac
Outdoor_BCM_Temperature,164,hvac
Outdoor_DigTemperatureSensor_0,165,hvac
Outdoor_DigTemperatureSensor_1,166,hvac
Gas_Valve_Open,-32768,derived
TStatDemandState_R,-32767,derived
TStatDemandState_W1,-32766,derived
TStatDemandState_W2,-32765,derived
TStatDemandState_W3,-32764,derived
TStatDemandState_Y1,-32763,derived
TStatDemandState_Y2,-32762,derived
TStatDemandState_G,-32761,derived
TStatDemandState_OB,-32760,derived
TStatDemandState_AX,-32759,derived
Significant_Current,-32758,derived
Current_Signal,-32757,derived
Quiescent_Value_M,-32756,derived
Quiescent_Value_U,-32755,derived
Quiescent_Value_L,-32754,derived
